area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,price_per_sqft,location_grouped
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,1140.0,2,3771.9298245614036,Gunjur
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1220,2.0,1.0,57.0,1220.0,2,4672.131147540984,Marathahalli
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Unknown,1005,2.0,1.0,36.68,1005.0,2,3649.7512437810947,Kanakpura Road
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,1569.0,3,6437.221159974506,Hegde Nagar
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,1240.0,2,5645.1612903225805,Haralur Road
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,2089.0,3,6701.771182383915,Hennur Road
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Unknown,1206,2.0,1.0,48.23,1206.0,2,3999.1708126036483,Kothannur
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1150,2.0,3.0,40.0,1150.0,2,3478.2608695652175,Kalena Agrahara
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,2511.0,3,8164.078056551175,other
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,Unknown,4400,6.0,3.0,250.0,4400.0,6,5681.818181818182,other
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,1660.0,3,6325.301204819277,other
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,4.0,2.0,224.5,3203.5,4,7007.960043702201,Hennur Road
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,1326.0,2,5882.35294117647,Yelahanka
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Unknown,1325,2.0,2.0,60.8,1325.0,3,4588.679245283019,Garudachar Palya
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,1499.0,3,6804.536357571715,EPIP Zone
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,Unknown,3000,7.0,2.0,210.0,3000.0,6,7000.0,Hegde Nagar
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Unknown,1665,3.0,2.0,88.0,1665.0,3,5285.285285285286,Kanakpura Road
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,708.0,2,5225.988700564972,Dasanapura
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,1060.0,2,5477.358490566037,Kasavanhalli
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,1000.0,2,7000.0,Sanjay nagar
Super built-up  Area,18-Dec,Electronic City,2 BHK,Unknown,1000,2.0,1.0,28.88,1000.0,2,2888.0,Electronic City
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,Unknown,1450,2.0,2.0,70.0,1450.0,3,4827.586206896552,other
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,1296.0,2,6172.83950617284,Thanisandra
Super built-up  Area,Ready To Move,Domlur,3 BHK,Unknown,1540,3.0,2.0,90.0,1540.0,3,5844.1558441558445,Domlur
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Unknown,1330,2.0,1.0,48.0,1330.0,3,3609.0225563909776,Sarjapura - Attibele Road
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,Unknown,1200,2.0,1.0,65.0,1200.0,2,5416.666666666667,other
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,Unknown,1200,3.0,1.0,90.0,1200.0,3,7500.0,other
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3.0,3.0,138.0,2502.0,3,5515.587529976019,Yeshwanthpur
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1.0,1.0,17.0,650.0,2,2615.3846153846152,Chandapura
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2.0,1.0,150.0,2400.0,3,6250.0,Kothanur
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2.0,2.0,43.0,1007.0,2,4270.109235352532,other
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2.0,2.0,50.0,1200.0,2,4166.666666666667,other
Super built-up  Area,Ready To Move,Peenya,2 BHK,Unknown,966,2.0,2.0,49.9,966.0,2,5165.631469979296,other
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Unknown,1630,2.0,1.0,98.0,1630.0,3,6012.269938650306,Nagarbhavi
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,2.0,229.0,1640.0,3,13963.414634146342,Rajaji Nagar
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Unknown,782,2.0,2.0,55.68,782.0,2,7120.204603580562,other
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2.0,2.0,66.78,1260.0,2,5300.0,Devanahalli
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,Unknown,1800,3.0,3.0,120.0,1800.0,3,6666.666666666667,other
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2.0,2.0,75.0,1413.0,3,5307.855626326964,other
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2.0,1.0,51.91,1116.0,2,4651.433691756272,Whitefield
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2.0,1.0,45.9,1530.0,3,3000.0,Electronic City
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Unknown,3700,4.0,1.0,225.0,3700.0,4,6081.081081081081,Ramamurthy Nagar
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,2497.0,3,5606.728073688426,Sarjapur  Road
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2.0,3.0,64.0,1540.0,3,4155.8441558441555,Kengeri
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Unknown,1436,3.0,1.0,74.75,1436.0,3,5205.431754874652,Thanisandra
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,Unknown,1100,2.0,2.0,75.0,1100.0,2,6818.181818181818,Malleshwaram
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3.0,2.0,120.0,1427.0,3,8409.250175192712,Thanisandra
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067 - 8156,4.0,0.0,477.0,5611.5,4,8500.400962309543,Hebbal
Built-up  Area,Ready To Move,Shampura,4 BHK,Unknown,2650,4.0,2.0,150.0,2650.0,4,5660.377358490566,other
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2.0,2.0,68.52,1282.0,3,5344.773790951638,Devanahalli
Built-up  Area,Ready To Move,Kadugodi,2 BHK,Unknown,1050,2.0,1.0,34.0,1050.0,2,3238.095238095238,Kadugodi
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3.0,2.0,65.0,1600.0,3,4062.5,LB Shastri Nagar
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,Unknown,945,2.0,1.0,54.0,945.0,2,5714.285714285715,other
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2.0,1.0,78.0,1500.0,2,5200.0,Hormavu
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3.0,3.0,110.0,1870.0,3,5882.35294117647,other
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,1600.0,3,4687.5,Sarjapur
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1.0,1.0,16.5,880.0,2,1875.0,Electronic City
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,Unknown,1200,4.0,0.0,210.0,1200.0,4,17500.0,other
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3.0,2.0,83.0,1535.0,3,5407.166123778502,Kudlu Gate
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2.0,1.0,57.0,950.0,2,6000.0,Kanakpura Road
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2.0,1.0,65.0,1360.0,2,4779.411764705882,Devanahalli
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042 - 1105,2.0,0.0,54.005,1073.5,2,5030.740568234746,8th Phase JP Nagar
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,Unknown,1280,3.0,1.0,50.4,1280.0,3,3937.5,Bommasandra Industrial Area
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2.0,2.0,85.05,1260.0,3,6750.0,other
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,Unknown,5000,8.0,2.0,250.0,5000.0,8,5000.0,Hennur Road
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5.0,1.0,213.0,3050.0,5,6983.606557377049,Yelahanka
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3.0,1.0,105.0,1563.05,3,6717.635392341896,Kasavanhalli
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,Unknown,1000,2.0,1.0,60.0,1000.0,2,6000.0,other
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2.0,1.0,43.76,1167.0,2,3749.7857754927163,Anandapura
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,Unknown,4000,7.0,2.0,225.0,4000.0,7,5625.0,other
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3.0,2.0,110.0,1828.0,3,6017.505470459519,Kothanur
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2.0,1.0,35.0,890.0,2,3932.5842696629215,Kengeri Satellite Town
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3.0,3.0,46.74,1612.0,3,2899.5037220843674,other
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4.0,2.0,91.31,1710.0,3,5339.766081871345,Mysore Road
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2.0,1.0,58.0,957.0,2,6060.606060606061,Kannamangala
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,Unknown,1250,2.0,3.0,44.0,1250.0,3,3520.0,Devarachikkanahalli
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4.0,2.0,235.0,2795.0,3,8407.871198568873,other
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2.0,2.0,50.0,1125.0,2,4444.444444444444,Hulimavu
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2.0,1.0,30.6,1020.0,2,3000.0,Electronic City Phase II
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Unknown,1200,2.0,2.0,50.0,1200.0,2,4166.666666666667,Kalena Agrahara
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3.0,3.0,135.0,1735.0,3,7780.979827089337,Thanisandra
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3.0,1.0,145.0,2050.0,3,7073.170731707317,Thanisandra
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Unknown,3750,4.0,0.0,760.0,3750.0,4,20266.666666666668,other
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,Unknown,1350,2.0,3.0,48.0,1350.0,3,3555.5555555555557,other
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,32.0,1063.0,2,3010.348071495767,Hosa Road
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3.0,1.0,150.0,1904.0,3,7878.151260504202,other
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Unknown,4200,4.0,2.0,420.0,4200.0,4,10000.0,Whitefield
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49,1242.5,2,3500.201207243461,Sarjapur
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2.0,2.0,75.0,1425.0,3,5263.1578947368425,other
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2.0,1.0,64.5,1500.0,3,4300.0,Electronic City
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2.0,1.0,60.0,1060.0,2,5660.377358490566,Electronic City
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2.0,2.0,70.0,1470.0,3,4761.9047619047615,other
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,11.0,450.0,1,2444.4444444444443,Attibele
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2.0,1.0,64.5,1152.0,2,5598.958333333333,Electronic City
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2.0,1.0,56.0,1350.0,3,4148.148148148148,Electronic City
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3.0,3.0,65.0,1550.0,3,4193.548387096775,CV Raman Nagar
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,Unknown,1500,3.0,2.0,100.0,1500.0,3,6666.666666666667,other
Plot  Area,Ready To Move,Nagavara,1 Bedroom,Unknown,400,1.0,0.0,14.0,400.0,1,3500.0,Nagavara
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1.0,2.0,67.0,705.0,1,9503.54609929078,Malleshwaram
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,36.0,770.0,2,4675.324675324675,Electronic City
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2.0,3.0,51.0,1242.0,2,4106.280193236715,Hulimavu
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3.0,2.0,155.0,1700.0,3,9117.64705882353,Hebbal Kempapura
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3.0,2.0,145.0,2144.0,3,6763.059701492537,Thanisandra
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3.0,2.0,110.0,1704.0,3,6455.399061032864,Vijayanagar
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,52.0,1070.0,2,4859.813084112149,Electronic City
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,Unknown,1846,3.0,2.0,300.0,1846.0,3,16251.354279523293,other
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,46.0,1025.0,2,4487.804878048781,Electronic City
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1015 - 1540,2.0,0.0,56.8,1277.5,2,4446.183953033268,KR Puram
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2.0,2.0,52.0,1200.0,2,4333.333333333333,Marathahalli
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,Unknown,2250,4.0,1.0,110.0,2250.0,4,4888.888888888889,Kanakpura Road
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2.0,3.0,80.0,1550.0,3,5161.290322580645,Pattandur Agrahara
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2.0,2.0,60.0,1200.0,2,5000.0,Marathahalli
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2.0,2.0,98.0,1327.0,2,7385.079125847777,Yelahanka
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1186,2.0,2.0,58.0,1186.0,2,4890.387858347386,Kothanur
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,Unknown,1783,3.0,1.0,115.0,1783.0,3,6449.8037016264725,other
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3.0,2.0,56.0,1400.0,3,4000.0,HSR Layout
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,Unknown,980,2.0,1.0,48.0,980.0,2,4897.959183673469,other
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,Unknown,1285,2.0,2.0,82.0,1285.0,2,6381.322957198444,EPIP Zone
Super built-up  Area,Ready To Move,Langford Town,3 BHK,Unknown,912,2.0,1.0,70.0,912.0,3,7675.438596491228,other
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2.0,2.0,47.6,1225.0,2,3885.714285714286,Whitefield
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Unknown,1075,2.0,1.0,53.0,1075.0,2,4930.232558139535,Whitefield
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2.0,2.0,54.0,1260.0,3,4285.714285714285,Kadugodi
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2.0,2.0,48.7,1282.0,3,3798.751950078003,Yelahanka
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3.0,2.0,88.0,1909.0,3,4609.743321110529,Kogilu
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2.0,1.0,87.0,1359.0,2,6401.766004415011,Panathur
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,Unknown,1736,6.0,0.0,190.0,1736.0,4,10944.700460829494,Padmanabhanagar
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,Unknown,2850,4.0,1.0,428.0,2850.0,4,15017.543859649122,1st Block Jayanagar
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3.0,2.0,65.0,1595.0,3,4075.2351097178685,Kammasandra
Built-up  Area,18-Jun,"Off Sarjapur Road,",3 BHK,Unknown,1798,3.0,2.0,89.0,1798.0,3,4949.944382647386,other
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3.0,2.0,78.29,1475.0,3,5307.796610169492,Electronics City Phase 1
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3.0,3.0,100.0,1580.0,3,6329.113924050633,other
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2.0,1.0,65.0,1295.0,2,5019.305019305019,Dasarahalli
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,Unknown,3600,6.0,0.0,141.0,3600.0,6,3916.6666666666665,Magadi Road
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1.0,1.0,27.0,589.0,1,4584.040747028863,Electronic City
